position,hand_rank_tuple,wins,total_matchups,win_rate
back,"(6, 8, 6, 4, 4, 2)",0,5,0.0
back,"(6, 8, 6, 4, 4, 3)",0,15,0.0
back,"(6, 8, 6, 5, 2, 2)",0,5,0.0
back,"(6, 8, 6, 5, 3, 3)",0,10,0.0
back,"(6, 8, 6, 5, 4, 2)",0,20,0.0
back,"(6, 8, 6, 5, 4, 3)",0,30,0.0
back,"(6, 8, 6, 5, 5, 2)",1,5,0.2
back,"(6, 8, 6, 5, 5, 4)",0,5,0.0
back,"(6, 8, 6, 6, 4, 2)",0,10,0.0
back,"(6, 8, 6, 6, 4, 3)",0,10,0.0
back,"(6, 8, 6, 6, 5, 2)",0,5,0.0
back,"(6, 8, 6, 6, 5, 3)",0,10,0.0
back,"(6, 8, 6, 6, 5, 4)",0,5,0.0
back,"(6, 8, 7, 3, 2, 2)",1,15,0.06666666666666667
back,"(6, 8, 7, 4, 2, 2)",0,5,0.0
back,"(6, 8, 7, 4, 3, 2)",0,15,0.0
back,"(6, 8, 7, 4, 3, 3)",0,10,0.0
back,"(6, 8, 7, 4, 4, 2)",0,5,0.0
back,"(6, 8, 7, 4, 4, 3)",0,10,0.0
back,"(6, 8, 7, 5, 2, 2)",0,5,0.0
back,"(6, 8, 7, 5, 3, 2)",0,5,0.0
back,"(6, 8, 7, 5, 3, 3)",1,10,0.1
back,"(6, 8, 7, 5, 4, 4)",1,30,0.03333333333333333
back,"(6, 8, 7, 5, 5, 2)",1,5,0.2
back,"(6, 8, 7, 5, 5, 3)",0,10,0.0
back,"(6, 8, 7, 6, 2, 2)",0,5,0.0
back,"(6, 8, 7, 6, 3, 2)",0,5,0.0
back,"(6, 8, 7, 6, 3, 3)",0,5,0.0
back,"(6, 8, 7, 6, 4, 4)",0,5,0.0
back,"(6, 8, 7, 6, 5, 2)",1,25,0.04
back,"(6, 8, 7, 6, 5, 3)",0,15,0.0
back,"(6, 8, 7, 6, 6, 3)",0,5,0.0
back,"(6, 8, 7, 6, 6, 5)",0,10,0.0
back,"(6, 8, 7, 7, 3, 2)",0,5,0.0
back,"(6, 8, 7, 7, 4, 2)",0,10,0.0
back,"(6, 8, 7, 7, 5, 3)",0,10,0.0
back,"(6, 8, 7, 7, 5, 4)",0,15,0.0
back,"(6, 8, 7, 7, 5, 5)",1,10,0.1
back,"(6, 8, 8, 3, 2, 2)",0,5,0.0
back,"(6, 8, 8, 3, 3, 2)",1,5,0.2
back,"(6, 8, 8, 4, 3, 2)",0,10,0.0
back,"(6, 8, 8, 5, 3, 2)",0,5,0.0
back,"(6, 8, 8, 5, 4, 2)",0,10,0.0
back,"(6, 8, 8, 5, 4, 3)",0,10,0.0
back,"(6, 8, 8, 6, 4, 4)",0,5,0.0
back,"(6, 8, 8, 6, 5, 3)",0,5,0.0
back,"(6, 8, 8, 6, 5, 4)",0,15,0.0
back,"(6, 8, 8, 6, 6, 4)",0,10,0.0
back,"(6, 8, 8, 7, 3, 2)",1,15,0.06666666666666667
back,"(6, 8, 8, 7, 5, 2)",0,10,0.0
back,"(6, 8, 8, 7, 5, 4)",0,15,0.0
back,"(6, 8, 8, 7, 6, 2)",1,5,0.2
back,"(6, 8, 8, 7, 6, 3)",0,10,0.0
back,"(6, 8, 8, 7, 6, 4)",0,5,0.0
back,"(6, 8, 8, 7, 6, 5)",0,10,0.0
back,"(6, 8, 8, 7, 7, 4)",0,5,0.0
back,"(6, 9, 3, 3, 2, 2)",0,5,0.0
back,"(6, 9, 5, 3, 2, 2)",0,5,0.0
back,"(6, 9, 5, 3, 3, 2)",1,10,0.1
back,"(6, 9, 5, 4, 2, 2)",0,10,0.0
back,"(6, 9, 5, 4, 3, 2)",0,5,0.0
back,"(6, 9, 5, 4, 4, 3)",1,5,0.2
back,"(6, 9, 5, 5, 4, 2)",0,5,0.0
back,"(6, 9, 5, 5, 4, 3)",0,5,0.0
back,"(6, 9, 6, 4, 2, 2)",2,15,0.13333333333333333
back,"(6, 9, 6, 4, 3, 2)",1,20,0.05
back,"(6, 9, 6, 4, 3, 3)",0,5,0.0
back,"(6, 9, 6, 4, 4, 2)",0,10,0.0
back,"(6, 9, 6, 5, 3, 2)",0,25,0.0
back,"(6, 9, 6, 5, 3, 3)",0,10,0.0
back,"(6, 9, 6, 5, 4, 2)",0,30,0.0
back,"(6, 9, 6, 5, 4, 3)",0,10,0.0
back,"(6, 9, 6, 5, 5, 2)",0,10,0.0
back,"(6, 9, 6, 5, 5, 3)",0,5,0.0
back,"(6, 9, 6, 5, 5, 4)",0,15,0.0
back,"(6, 9, 6, 6, 3, 2)",1,5,0.2
back,"(6, 9, 6, 6, 4, 2)",0,15,0.0
back,"(6, 9, 6, 6, 4, 3)",0,5,0.0
back,"(6, 9, 6, 6, 4, 4)",0,5,0.0
back,"(6, 9, 6, 6, 5, 2)",0,15,0.0
