position,tuple,winProbability
front,"[7, 13, 10]",98.1
front,"[7, 13, 11]",98.1
front,"[7, 13, 12]",98.1
front,"[7, 13, 14]",98.1
front,"[7, 12, 2]",98.0
front,"[7, 12, 3]",98.0
front,"[7, 12, 4]",98.0
front,"[7, 12, 5]",98.0
front,"[7, 12, 6]",98.0
front,"[7, 12, 7]",98.0
front,"[7, 12, 8]",98.0
front,"[7, 12, 9]",98.0
front,"[7, 12, 10]",98.0
front,"[7, 12, 11]",98.0
front,"[7, 12, 13]",98.0
front,"[7, 12, 14]",98.0
front,"[7, 11, 2]",97.9
front,"[7, 11, 3]",97.9
front,"[7, 11, 4]",97.9
front,"[7, 11, 5]",97.9
front,"[7, 11, 6]",97.9
front,"[7, 11, 7]",97.9
front,"[7, 11, 8]",97.9
front,"[7, 11, 9]",97.9
front,"[7, 11, 10]",97.9
front,"[7, 11, 12]",97.9
front,"[7, 11, 13]",97.9
front,"[7, 11, 14]",97.9
front,"[7, 10, 2]",97.8
front,"[7, 10, 3]",97.8
front,"[7, 10, 4]",97.8
front,"[7, 10, 5]",97.8
front,"[7, 10, 6]",97.8
front,"[7, 10, 7]",97.8
front,"[7, 10, 8]",97.8
front,"[7, 10, 9]",97.8
front,"[7, 10, 11]",97.8
front,"[7, 10, 12]",97.8
front,"[7, 10, 13]",97.8
front,"[7, 10, 14]",97.8
front,"[7, 9, 2]",97.7
front,"[7, 9, 3]",97.7
front,"[7, 9, 4]",97.7
front,"[7, 9, 5]",97.7
front,"[7, 9, 6]",97.7
front,"[7, 9, 7]",97.7
front,"[7, 9, 8]",97.7
front,"[7, 9, 10]",97.7
front,"[7, 9, 11]",97.7
front,"[7, 9, 12]",97.7
front,"[7, 9, 13]",97.7
front,"[7, 9, 14]",97.7
front,"[7, 8, 2]",97.6
front,"[7, 8, 3]",97.6
front,"[7, 8, 4]",97.6
front,"[7, 8, 5]",97.6
front,"[7, 8, 6]",97.6
front,"[7, 8, 7]",97.6
front,"[7, 8, 9]",97.6
front,"[7, 8, 10]",97.6
front,"[7, 8, 11]",97.6
front,"[7, 8, 12]",97.6
front,"[7, 8, 13]",97.6
front,"[7, 8, 14]",97.6
front,"[7, 7, 2]",97.5
front,"[7, 7, 3]",97.5
front,"[7, 7, 4]",97.5
front,"[7, 7, 5]",97.5
front,"[7, 7, 6]",97.5
front,"[7, 7, 8]",97.5
front,"[7, 7, 9]",97.5
front,"[7, 7, 10]",97.5
front,"[7, 7, 11]",97.5
front,"[7, 7, 12]",97.5
front,"[7, 7, 13]",97.5
front,"[7, 7, 14]",97.5
front,"[7, 6, 2]",97.4
front,"[7, 6, 3]",97.4
front,"[7, 6, 4]",97.4
front,"[7, 6, 5]",97.4
front,"[7, 6, 7]",97.4
front,"[7, 6, 8]",97.4
front,"[7, 6, 9]",97.4
front,"[7, 6, 10]",97.4
front,"[7, 6, 11]",97.4
front,"[7, 6, 12]",97.4
front,"[7, 6, 13]",97.4
front,"[7, 6, 14]",97.4
front,"[7, 5, 2]",97.3
front,"[7, 5, 3]",97.3
front,"[7, 5, 4]",97.3
front,"[7, 5, 6]",97.3
front,"[7, 5, 7]",97.3
front,"[7, 5, 8]",97.3
front,"[7, 5, 9]",97.3
front,"[7, 5, 10]",97.3
front,"[7, 5, 11]",97.3
front,"[7, 5, 12]",97.3
front,"[7, 5, 13]",97.3
front,"[7, 5, 14]",97.3
front,"[7, 4, 2]",97.2
front,"[7, 4, 3]",97.2
front,"[7, 4, 5]",97.2
front,"[7, 4, 6]",97.2
front,"[7, 4, 7]",97.2
front,"[7, 4, 8]",97.2
front,"[7, 4, 9]",97.2
front,"[7, 4, 10]",97.2
front,"[7, 4, 11]",97.2
front,"[7, 4, 12]",97.2
front,"[7, 4, 13]",97.2
front,"[7, 4, 14]",97.2
front,"[7, 3, 2]",97.1
front,"[7, 3, 4]",97.1
front,"[7, 3, 5]",97.1
front,"[7, 3, 6]",97.1
front,"[7, 3, 7]",97.1
front,"[7, 3, 8]",97.1
front,"[7, 3, 9]",97.1
front,"[7, 3, 10]",97.1
front,"[7, 3, 11]",97.1
front,"[7, 3, 12]",97.1
front,"[7, 3, 13]",97.1
front,"[7, 3, 14]",97.1
front,"[7, 2, 3]",97.0
front,"[7, 2, 4]",97.0
front,"[7, 2, 5]",97.0
front,"[7, 2, 6]",97.0
front,"[7, 2, 7]",97.0
front,"[7, 2, 8]",97.0
front,"[7, 2, 9]",97.0
front,"[7, 2, 10]",97.0
front,"[7, 2, 11]",97.0
front,"[7, 2, 12]",97.0
front,"[7, 2, 13]",97.0
front,"[7, 2, 14]",97.0
front,"[6, 14, 2]",93.8
front,"[6, 14, 3]",93.8
front,"[6, 14, 4]",93.8
front,"[6, 14, 5]",93.8
front,"[6, 14, 6]",93.8
front,"[6, 14, 7]",93.8
front,"[6, 14, 8]",93.8
front,"[6, 14, 9]",93.8
front,"[6, 14, 10]",93.8
front,"[6, 14, 11]",93.8
front,"[6, 14, 12]",93.8
front,"[6, 14, 13]",93.8
front,"[6, 13, 2]",92.9
front,"[6, 13, 3]",92.9
front,"[6, 13, 4]",92.9
front,"[6, 13, 5]",92.9
front,"[6, 13, 6]",92.9
front,"[6, 13, 7]",92.9
front,"[6, 13, 8]",92.9
front,"[6, 13, 9]",92.9
front,"[6, 13, 10]",92.9
front,"[6, 13, 11]",92.9
front,"[6, 13, 12]",92.9
front,"[6, 12, 2]",92.0
front,"[6, 12, 3]",92.0
front,"[6, 12, 4]",92.0
front,"[6, 12, 5]",92.0
front,"[6, 12, 6]",92.0
front,"[6, 12, 7]",92.0
front,"[6, 12, 8]",92.0
front,"[6, 12, 9]",92.0
front,"[6, 12, 10]",92.0
front,"[6, 12, 11]",92.0
front,"[6, 11, 2]",91.1
front,"[6, 11, 3]",91.1
front,"[6, 11, 4]",91.1
front,"[6, 11, 5]",91.1
front,"[6, 11, 6]",91.1
front,"[6, 11, 7]",91.1
front,"[6, 11, 8]",91.1
front,"[6, 11, 9]",91.1
front,"[6, 11, 10]",91.1
front,"[6, 10, 2]",90.2
front,"[6, 10, 3]",90.2
front,"[6, 10, 4]",90.2
front,"[6, 10, 5]",90.2
front,"[6, 10, 6]",90.2
front,"[6, 10, 7]",90.2
front,"[6, 10, 8]",90.2
front,"[6, 10, 9]",90.2
front,"[6, 9, 2]",89.3
front,"[6, 9, 3]",89.3
front,"[6, 9, 4]",89.3
front,"[6, 9, 5]",89.3
front,"[6, 9, 6]",89.3
front,"[6, 9, 7]",89.3
front,"[6, 9, 8]",89.3
front,"[6, 8, 2]",88.4
front,"[6, 8, 3]",88.4
front,"[6, 8, 4]",88.4
front,"[6, 8, 5]",88.4
front,"[6, 8, 6]",88.4
front,"[6, 8, 7]",88.4
front,"[6, 7, 2]",87.5
front,"[6, 7, 3]",87.5
front,"[6, 7, 4]",87.5
front,"[6, 7, 5]",87.5
front,"[6, 7, 6]",87.5
front,"[6, 6, 2]",86.6
front,"[6, 6, 3]",86.6
front,"[6, 6, 4]",86.6
front,"[6, 6, 5]",86.6
front,"[6, 5, 2]",85.7
front,"[6, 5, 3]",85.7
front,"[6, 5, 4]",85.7
front,"[6, 4, 2]",84.8
front,"[6, 4, 3]",84.8
front,"[6, 3, 2]",83.9
front,"[5, 14, 13]",72.4
front,"[5, 14, 5]",72.4
front,"[5, 13, 12]",70.8
front,"[5, 12, 11]",69.2
front,"[5, 11, 10]",67.6
front,"[5, 10, 9]",66.0
front,"[5, 9, 8]",64.4
front,"[5, 8, 7]",62.8
front,"[5, 7, 6]",61.2
front,"[5, 6, 5]",59.6
front,"[5, 5, 4]",58.0
front,"[4, 14]",57.0
front,"[4, 13]",56.0
front,"[4, 12]",55.0
front,"[4, 11]",54.0
front,"[4, 10]",53.0
front,"[4, 9]",52.0
front,"[4, 8]",51.0
front,"[4, 7]",50.0
front,"[4, 6]",49.0
front,"[4, 5]",48.0
front,"[4, 4]",47.0
front,"[4, 3]",46.0
front,"[4, 2]",45.0
front,"[2, 14, 13]",34.799
front,"[2, 14, 12]",34.798
front,"[2, 14, 11]",34.797
front,"[2, 14, 10]",34.796
front,"[2, 14, 9]",34.795
front,"[2, 14, 8]",34.794
front,"[2, 14, 7]",34.793
front,"[2, 14, 6]",34.792
front,"[2, 14, 5]",34.791
