position,hand_rank_tuple,wins,total_matchups,netev
front,"(8, 3, 13)",1,1,11.992611
front,"(8, 3, 12)",1,1,11.992555
front,"(8, 3, 11)",1,1,11.992499
front,"(8, 3, 10)",1,1,11.992443
front,"(8, 3, 9)",1,1,11.992387
front,"(8, 3, 8)",1,1,11.992331
front,"(8, 3, 7)",1,1,11.992275
front,"(8, 3, 6)",1,1,11.992219
front,"(8, 3, 5)",1,1,11.992163
front,"(8, 3, 4)",1,1,11.992107
front,"(8, 3, 2)",1,1,11.992051
front,"(8, 2, 14)",1,1,11.992000
front,"(8, 2, 13)",1,1,11.991944
front,"(8, 2, 12)",1,1,11.991888
front,"(8, 2, 11)",1,1,11.991832
front,"(8, 2, 10)",1,1,11.991776
front,"(8, 2, 9)",1,1,11.991720
front,"(8, 2, 8)",1,1,11.991664
front,"(8, 2, 7)",1,1,11.991608
front,"(8, 2, 6)",1,1,11.991552
front,"(8, 2, 5)",1,1,11.991497
front,"(8, 2, 4)",1,1,11.991441
front,"(8, 2, 3)",1,1,11.991385
front,"(7, 14, 13)",1,1,4.895792
front,"(7, 14, 12)",1,1,4.894603
front,"(7, 14, 11)",1,1,4.893414
front,"(7, 14, 10)",1,1,4.892226
front,"(7, 14, 9)",1,1,4.891037
front,"(7, 14, 8)",1,1,4.889848
front,"(7, 14, 7)",1,1,4.888659
front,"(7, 14, 6)",1,1,4.887470
front,"(7, 14, 5)",1,1,4.886282
front,"(7, 14, 4)",1,1,4.885093
front,"(7, 14, 3)",1,1,4.883904
front,"(7, 14, 2)",1,1,4.882715
front,"(7, 13, 14)",1,1,4.881625
front,"(7, 13, 12)",1,1,4.880437
front,"(7, 13, 11)",1,1,4.879248
front,"(7, 13, 10)",1,1,4.878059
front,"(7, 13, 9)",1,1,4.876870
front,"(7, 13, 8)",1,1,4.875681
front,"(7, 13, 7)",1,1,4.874493
front,"(7, 13, 6)",1,1,4.873304
front,"(7, 13, 5)",1,1,4.872115
front,"(7, 13, 4)",1,1,4.870926
front,"(7, 13, 3)",1,1,4.869737
front,"(7, 13, 2)",1,1,4.868549
front,"(7, 12, 14)",1,1,4.867459
front,"(7, 12, 13)",1,1,4.866270
front,"(7, 12, 11)",1,1,4.865081
front,"(7, 12, 10)",1,1,4.863892
front,"(7, 12, 9)",1,1,4.862704
front,"(7, 12, 8)",1,1,4.861515
front,"(7, 12, 7)",1,1,4.860326
front,"(7, 12, 6)",1,1,4.859137
front,"(7, 12, 5)",1,1,4.857948
front,"(7, 12, 4)",1,1,4.856759
front,"(7, 12, 3)",1,1,4.855571
front,"(7, 12, 2)",1,1,4.854382
front,"(7, 11, 14)",1,1,4.853292
front,"(7, 11, 13)",1,1,4.852103
front,"(7, 11, 12)",1,1,4.850914
front,"(7, 11, 10)",1,1,4.849726
front,"(7, 11, 9)",1,1,4.848537
front,"(7, 11, 8)",1,1,4.847348
front,"(7, 11, 7)",1,1,4.846159
front,"(7, 11, 6)",1,1,4.844970
front,"(7, 11, 5)",1,1,4.843782
front,"(7, 11, 4)",1,1,4.842593
front,"(7, 11, 3)",1,1,4.841404
front,"(7, 11, 2)",1,1,4.840215
front,"(7, 10, 14)",1,1,4.839125
front,"(7, 10, 13)",1,1,4.837937
front,"(7, 10, 12)",1,1,4.836748
front,"(7, 10, 11)",1,1,4.835559
front,"(7, 10, 9)",1,1,4.834370
front,"(7, 10, 8)",1,1,4.833181
front,"(7, 10, 7)",1,1,4.831993
front,"(7, 10, 6)",1,1,4.830804
front,"(7, 10, 5)",1,1,4.829615
